,importance
state_az,0.000272118
Series_Super Duty - Dual Rear Wheel,0.00027115643
Model_Mustang,0.00027096097
region_western massachusetts,0.00027053
Trim_Platinum/1794,0.00027042592
Model_Expedition,0.00026996568
Model_SC,0.00026783475
Series_E350,0.00026772328
state_mi,0.00026718446
Series2_Type 9PA,0.000266888
Series_Cooper S,0.00026660468
region_daytona beach,0.0002659248
Trim_Police Vehicle,0.0002658007
"GVWR_Class 2: 6,001 - 10,000 lb (2,722 - 4,536 kg)",0.00026513726
Model_RAV4,0.00026511028
Trim_Inscription,0.00026442623
Model_Focus,0.0002642531
Model_XT4,0.00026418973
Model_XF,0.00026410006
Trim_LTZ (2LZ),0.00026396159
BlindSpotMon_Optional,0.00026362806
region_seattle-tacoma,0.00026358233
Trim_LT,0.00026345544
Make_SUZUKI,0.00026245386
state_ca,0.00026151616
Series_E550,0.00026140368
Series_C300,0.00026137425
Model_GS,0.00026096532
ValveTrainDesign_Dual Overhead Cam (DOHC),0.0002604104
Series_Sport / Limited / Sport 2.0,0.00025992817
region_fresno / madera,0.0002597954
Series_ML350,0.00025922217
Model_MKZ,0.0002592194
state_mt,0.00025892694
Make_HYUNDAI,0.000258879
Series_Unlimited Sport,0.00025840368
Make_BMW,0.00025746677
Series_GL,0.00025711398
region_ft myers / SW florida,0.00025662826
region_albuquerque,0.00025649718
region_lakeland,0.00025553664
Trim_SRT HELLCAT,0.00025381063
Series_Denali AWD,0.00025367484
Series_CLA250,0.00025317457
ElectrificationLevel_PHEV (Plug-in Hybrid Electric Vehicle),0.00025228417
state_co,0.00025194802
Trim_L/LE/SE/XLE,0.00025183024
Model_740i,0.0002511432
Trim_DJ,0.00025068206
FuelTypeSecondary_Electric,0.00025064673
Model_550i,0.0002504844
Model_330i,0.00024971188
SeatRows,0.0002497027
region_central michigan,0.00024882954
Series_GLK350,0.0002486847
Trim2_Q grade,0.00024803306
WheelBaseType_Medium,0.00024773812
Model_CLK-Class,0.00024707345
state_pa,0.00024561182
Model_Lancer,0.0002445252
Trim_Unlimited Sport,0.00024424357
LaneKeepSystem_Not Available,0.00024361975
Series_2500 (3/4 ton),0.00024305975
FuelInjectionType_Unit Injector Direct Injection Diesel (UDI),0.00024278084
Model_MDX,0.00024233352
Model_M5,0.00024220809
Model_Jetta,0.00024191629
Model_Q60,0.00024145769
Model_Scion xB,0.00024134965
Model_Fiesta,0.00024130353
region_kalispell,0.00024016696
region_oklahoma city,0.00023948873
Trim_2500,0.00023812955
Trim_SR5,0.0002381126
Series_SE Hybrid,0.00023784227
region_reno / tahoe,0.00023769162
region_phoenix,0.0002375545
region_spokane / coeur d'alene,0.00023685662
Trim_Platinum Grade,0.00023671993
region_brownsville,0.00023562004
Series2_LFa,0.00023461967
Trim_Touring L,0.00023458149
Model_340i,0.00023429036
region_east oregon,0.00023386425
Trim_Momentum,0.00023368694
Series_MCU33L/MCU38L,0.00023296755
Series2_4-MATIC,0.00023278996
Trim_Base/Acura Watch Plus Package,0.00023265326
state_ut,0.00023228064
Series_GT,0.00023063646
region_prescott,0.00023020111
Trim2_Access Cab,0.00023015813
Trim_Two Eco/Three/Three Touring/Four/Four Touring,0.0002293048
Model_Maxima,0.00022852162
region_san antonio,0.0002282968
Trim_DLX,0.00022791335
"Trim_SE Popular Pkg, SE Tech pkg, Limited",0.0002277325
state_ia,0.0002267068
Trim_Base,0.00022617362
Model_Edge,0.00022292386
Model_Pathfinder,0.0002227508
Model_GLE-Class,0.00022190911
Model_MR2,0.00022178823
Trim_Trail Boss - LT,0.0002214348
region_tucson,0.00022120439
region_philadelphia,0.000220856
Model_IS,0.00022057525
Trim_SuperCab,0.00022045094
Model_Impreza,0.0002200217
Series_GSU30L/GSU35L,0.00021956975
